item_id,item_type,group_id,status,note,context
S26.002,sentence,,located,,"Under aggregation, lead time remains high and stable as the interval coarsens; under decimation it degrades faster, with 3σ and Isolation Forest collapsing at coarse intervals (for example, 3σ falls f"
S26.002.n01,number,64.6,located,,"Under aggregation, lead time remains high and stable as the interval coarsens; under decimation it degrades faster, with 3σ and Isolation Forest collapsing at coarse intervals (for example, 3σ falls f"
S26.002.n02,number,24.8,located,,"Under aggregation, lead time remains high and stable as the interval coarsens; under decimation it degrades faster, with 3σ and Isolation Forest collapsing at coarse intervals (for example, 3σ falls f"
S26.002.n03,number,10,located,,"Under aggregation, lead time remains high and stable as the interval coarsens; under decimation it degrades faster, with 3σ and Isolation Forest collapsing at coarse intervals (for example, 3σ falls f"
S26.002.n04,number,64.6,located,,"Under aggregation, lead time remains high and stable as the interval coarsens; under decimation it degrades faster, with 3σ and Isolation Forest collapsing at coarse intervals (for example, 3σ falls f"
S26.003,sentence,,located,,"The upturn at the very largest factor reflects the fewwindows regime, where only one or two runs survive and the mean is no longer comparable; we annotate rather than hide it."
S26.004,sentence,,located,,Table 7 gives the run-level test over all eleven evaluated detectors.
S26.005,sentence,,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n01,number,4.2,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n02,number,4.7,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n03,number,4.3,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n04,number,4.3,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n05,number,1.0,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n06,number,1.2,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n07,number,81.7,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n08,number,1.2,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n09,number,25.8,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n10,number,15.1,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n11,number,-1.0,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n12,number,15.1,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n13,number,-0.7,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n14,number,16.9,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n15,number,3.4,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n16,number,3.4,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n17,number,-3.9,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n18,number,4.3,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n19,number,2.1,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n20,number,2.1,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n21,number,8.9,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n22,number,0.0,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.005.n23,number,0.0,located,,"Honoring the run as the unit of inference (Section 4.9), the magnitude-monitoring detectors show a positive median difference, but only two are signconsistent: CUSUM (per-run +4.2, +4.7, +4.3 h; media"
S26.006,sentence,,located,0.83,"The three deep reconstruction models and the one-class SVM have negative medians (LSTM-AE, TCN and Transformer-AD each -0.4 h; one-class SVM -2.4 h), each with two negative runs and one positive; the "
S26.006.n01,number,-0.4,located,,"The three deep reconstruction models and the one-class SVM have negative medians (LSTM-AE, TCN and Transformer-AD each -0.4 h; one-class SVM -2.4 h), each with two negative runs and one positive; the "
S26.006.n02,number,-2.4,located,,"The three deep reconstruction models and the one-class SVM have negative medians (LSTM-AE, TCN and Transformer-AD each -0.4 h; one-class SVM -2.4 h), each with two negative runs and one positive; the "
S26.006.n03,number,3,located,,"The three deep reconstruction models and the one-class SVM have negative medians (LSTM-AE, TCN and Transformer-AD each -0.4 h; one-class SVM -2.4 h), each with two negative runs and one positive; the "
S26.006.n04,number,56.1,located,,"The three deep reconstruction models and the one-class SVM have negative medians (LSTM-AE, TCN and Transformer-AD each -0.4 h; one-class SVM -2.4 h), each with two negative runs and one positive; the "
S26.006.n05,number,9.0,located,,"The three deep reconstruction models and the one-class SVM have negative medians (LSTM-AE, TCN and Transformer-AD each -0.4 h; one-class SVM -2.4 h), each with two negative runs and one positive; the "
S26.006.n06,number,68.8,located,,"The three deep reconstruction models and the one-class SVM have negative medians (LSTM-AE, TCN and Transformer-AD each -0.4 h; one-class SVM -2.4 h), each with two negative runs and one positive; the "
S26.007,sentence,,located,1.00,The RMS-trend baseline is mixed.
S26.008,sentence,,located,,"The direction is therefore a positive median for the chart/distance detectors, but not a consistent one—aggregation shortens the lead time of 3σ, EWMA and Isolation Forest on one run each—and with onl"
S26.008.n01,number,3,located,,"The direction is therefore a positive median for the chart/distance detectors, but not a consistent one—aggregation shortens the lead time of 3σ, EWMA and Isolation Forest on one run each—and with onl"
S26.008.n02,number,0.25,located,,"The direction is therefore a positive median for the chart/distance detectors, but not a consistent one—aggregation shortens the lead time of 3σ, EWMA and Isolation Forest on one run each—and with onl"
S26.009,sentence,,located,,We make no significance claim; the defensible reading is a null result with a positive median direction for the magnitude-monitoring detectors.
S26.010,sentence,,located,,"The candidate mechanism is that bin-averaging acts as a low-pass filter suppressing single-window noise in the health statistic, so the alarm threshold is crossed earlier and held more persistently th"
S26.011,sentence,,located-manual,paraphrased: Sec. 6.6: 'Appendix D.1 tests it and Section 7.3 gives the signal-theoretic reason',"We test this smoothing hypothesis directly in Appendix D.1, and give the signal-theoretic reason it should hold for this class of health statistic in Section 7.3."
S27.001,sentence,,located,,"The aggregate-vs-decimate question is asked once per detector on each inferential dataset, so the family of hypotheses is the 11 × 4 = 44 detector × dataset tests over IMS, XJTUSY, FEMTO, and Ferrara "
S27.001.n01,number,11,located,,"The aggregate-vs-decimate question is asked once per detector on each inferential dataset, so the family of hypotheses is the 11 × 4 = 44 detector × dataset tests over IMS, XJTUSY, FEMTO, and Ferrara "
S27.001.n02,number,4,located,,"The aggregate-vs-decimate question is asked once per detector on each inferential dataset, so the family of hypotheses is the 11 × 4 = 44 detector × dataset tests over IMS, XJTUSY, FEMTO, and Ferrara "
S27.001.n03,number,44,located,,"The aggregate-vs-decimate question is asked once per detector on each inferential dataset, so the family of hypotheses is the 11 × 4 = 44 detector × dataset tests over IMS, XJTUSY, FEMTO, and Ferrara "
S27.001.n04,number,1,located,,"The aggregate-vs-decimate question is asked once per detector on each inferential dataset, so the family of hypotheses is the 11 × 4 = 44 detector × dataset tests over IMS, XJTUSY, FEMTO, and Ferrara "
S27.002,sentence,,located,,"The uncorrected family-wise error rate at α = 0.05 is 1 - (1 - 0.05)44 ≈ 0.90, which is exactly why a correction is required."
S27.002.n01,number,0.05,located,,"The uncorrected family-wise error rate at α = 0.05 is 1 - (1 - 0.05)44 ≈ 0.90, which is exactly why a correction is required."
S27.002.n02,number,1,located,,"The uncorrected family-wise error rate at α = 0.05 is 1 - (1 - 0.05)44 ≈ 0.90, which is exactly why a correction is required."
S27.002.n03,number,1,located,,"The uncorrected family-wise error rate at α = 0.05 is 1 - (1 - 0.05)44 ≈ 0.90, which is exactly why a correction is required."
S27.002.n04,number,0.05,located,,"The uncorrected family-wise error rate at α = 0.05 is 1 - (1 - 0.05)44 ≈ 0.90, which is exactly why a correction is required."
S27.002.n05,number,44,located,,"The uncorrected family-wise error rate at α = 0.05 is 1 - (1 - 0.05)44 ≈ 0.90, which is exactly why a correction is required."
S27.002.n06,number,0.90,located,,"The uncorrected family-wise error rate at α = 0.05 is 1 - (1 - 0.05)44 ≈ 0.90, which is exactly why a correction is required."
S27.003,sentence,,located,,We apply Holm-Bonferroni to the forty-four run-level signtest p-values (Table 8).
S27.004,sentence,,located,,"No hypothesis survives (0 of 44): the smallest raw p-value is 0.125 (Transformer-AD on FEMTO), and after Holm correction across the N = 44 family its adjusted p is 1.00, still far above α."
S27.004.n01,number,0,located,,"No hypothesis survives (0 of 44): the smallest raw p-value is 0.125 (Transformer-AD on FEMTO), and after Holm correction across the N = 44 family its adjusted p is 1.00, still far above α."
S27.004.n02,number,44,located,,"No hypothesis survives (0 of 44): the smallest raw p-value is 0.125 (Transformer-AD on FEMTO), and after Holm correction across the N = 44 family its adjusted p is 1.00, still far above α."
S27.004.n03,number,0.125,located,,"No hypothesis survives (0 of 44): the smallest raw p-value is 0.125 (Transformer-AD on FEMTO), and after Holm correction across the N = 44 family its adjusted p is 1.00, still far above α."
S27.004.n04,number,44,located,,"No hypothesis survives (0 of 44): the smallest raw p-value is 0.125 (Transformer-AD on FEMTO), and after Holm correction across the N = 44 family its adjusted p is 1.00, still far above α."
S27.004.n05,number,1.00,located,,"No hypothesis survives (0 of 44): the smallest raw p-value is 0.125 (Transformer-AD on FEMTO), and after Holm correction across the N = 44 family its adjusted p is 1.00, still far above α."
S27.005,sentence,,located,,Every one of the fortyfour adjusted p-values is 1.00.
S27.005.n01,number,1.00,located,,Every one of the fortyfour adjusted p-values is 1.00.
S27.006,sentence,,located-manual,paraphrased: Sec. 6.7: 'there is no significant aggregate-vs-decimate effect on any dataset',"The conclusion is unambiguous and conservative: after honoring the run structure and correcting for multiple comparisons, there is no statistically significant aggregate-vs-decimate effect on any data"
S27.007,sentence,,located,0.78,"The positive IMS median shift remains a reportable trend; it is simply not, and cannot be at n = 3, a significant one."
S27.007.n01,number,3,located,,"The positive IMS median shift remains a reportable trend; it is simply not, and cannot be at n = 3, a significant one."
S27.008,sentence,,located,,"We note that the family is heterogeneous in power: the three deep sequence models contribute n = 3 XJTU tests rather than n = 10 (marked ‡ in Table 8), and those three cells rest on the longest-lived—"
S27.008.n01,number,3,located,,"We note that the family is heterogeneous in power: the three deep sequence models contribute n = 3 XJTU tests rather than n = 10 (marked ‡ in Table 8), and those three cells rest on the longest-lived—"
S27.008.n02,number,10,located,,"We note that the family is heterogeneous in power: the three deep sequence models contribute n = 3 XJTU tests rather than n = 10 (marked ‡ in Table 8), and those three cells rest on the longest-lived—"
S27.009,sentence,,located,,"Because every uncorrected p in the family already exceeds 0.1, this heterogeneity does not change any rejection decision; we flag it so the N = 44 count is not read as forty-four equallypowered tests."
S27.009.n01,number,0.1,located,,"Because every uncorrected p in the family already exceeds 0.1, this heterogeneity does not change any rejection decision; we flag it so the N = 44 count is not read as forty-four equallypowered tests."
S27.009.n02,number,44,located,,"Because every uncorrected p in the family already exceeds 0.1, this heterogeneity does not change any rejection decision; we flag it so the N = 44 count is not read as forty-four equallypowered tests."
S27.010,sentence,,located,0.60,"Table 9 breaks the XJTU result down by bearing at full resolution (aggregate mechanism, valid alarms counted over the five detectors)."
S27.011,sentence,,located,0.75,"We report the mean lead over the valid detectors as the realistic singledeployed-detector expectation, alongside the oracle “best lead” (the maximum over five, which presumes foreknowledge of which de"
S27.012,sentence,,located,0.67,Bearing2_2: 1.00 h mean vs. 1.08 h oracle).
S27.012.n01,number,1.00,located,,Bearing2_2: 1.00 h mean vs. 1.08 h oracle).
S27.012.n02,number,1.08,documented,Part 1 (Eq. 5 validity restatement): Bearing2_2 mean-vs-oracle example (1.00 vs 1.08 h) dropped; the bearing is not scoreable and mean = best on every scoreable bearing,Bearing2_2: 1.00 h mean vs. 1.08 h oracle).
S27.013,sentence,,located,,The aggregate 209/450 valid-alarm figure quoted above is not uniform: it is the sum of a strongly heterogeneous per-bearing picture.
S27.013.n01,number,209/450,documented,Part 1 (Eq. 5 validity restatement): 209/450 -> 48/230 scoreable (220 excluded),The aggregate 209/450 valid-alarm figure quoted above is not uniform: it is the sum of a strongly heterogeneous per-bearing picture.
S27.014,sentence,,located,,"Long-degrading bearings such as Bearing2_3 (533 min life) and Bearing1_3 (158 min) are warnable with multi-hour or near-hour lead, whereas the two shortest-lived, abrupt-failure bearings—Bearing2_4 (4"
S27.014.n01,number,533,located,,"Long-degrading bearings such as Bearing2_3 (533 min life) and Bearing1_3 (158 min) are warnable with multi-hour or near-hour lead, whereas the two shortest-lived, abrupt-failure bearings—Bearing2_4 (4"
S27.014.n02,number,158,located,,"Long-degrading bearings such as Bearing2_3 (533 min life) and Bearing1_3 (158 min) are warnable with multi-hour or near-hour lead, whereas the two shortest-lived, abrupt-failure bearings—Bearing2_4 (4"
S27.014.n03,number,42,located,,"Long-degrading bearings such as Bearing2_3 (533 min life) and Bearing1_3 (158 min) are warnable with multi-hour or near-hour lead, whereas the two shortest-lived, abrupt-failure bearings—Bearing2_4 (4"
S27.014.n04,number,123,located,,"Long-degrading bearings such as Bearing2_3 (533 min life) and Bearing1_3 (158 min) are warnable with multi-hour or near-hour lead, whereas the two shortest-lived, abrupt-failure bearings—Bearing2_4 (4"
S27.014.n05,number,2/10,documented,Part 1 (Eq. 5 validity restatement): '2/10 bearings' -> '2 of the 5 scoreable bearings',"Long-degrading bearings such as Bearing2_3 (533 min life) and Bearing1_3 (158 min) are warnable with multi-hour or near-hour lead, whereas the two shortest-lived, abrupt-failure bearings—Bearing2_4 (4"
S27.015,sentence,,located,1.00,The metric credits no warning time on bearings that provide none.
S27.016,sentence,,located,,The same contrast under the gated metric.
S27.017,sentence,,located,,"The cross-dataset headline above is computed on raw lead time, the quantity a coarsening operation acts on directly and the one that carries no dependence on the budget τ ."
S27.018,sentence,,located,,"Because this paper argues that ungated lead time can mislead, we also report the aggregate-vs-decimate contrast under the gated metric itself, so the sampling conclusion does not rest on a quantity we"
S27.019,sentence,,located,,"The answer does not change: on every inferential dataset the median run-level difference is at most a few thousandths of an hour under either metric, no detector is sign-consistent enough to reach sig"
S27.019.n01,number,44,located,,"The answer does not change: on every inferential dataset the median run-level difference is at most a few thousandths of an hour under either metric, no detector is sign-consistent enough to reach sig"
S27.020,sentence,,located,1.00,What changes is power.
S27.021,sentence,,located,,"Gating discards every run in which a detector never produces a valid alarm, so the mean effective sample size per detector falls from 3.0 to 1.3 on XJTU-SY, 4.8 to 2.8 on FEMTO, 5.0 to 3.6 on Ferrara,"
S27.021.n01,number,3.0,located,,"Gating discards every run in which a detector never produces a valid alarm, so the mean effective sample size per detector falls from 3.0 to 1.3 on XJTU-SY, 4.8 to 2.8 on FEMTO, 5.0 to 3.6 on Ferrara,"
S27.021.n02,number,1.3,located,,"Gating discards every run in which a detector never produces a valid alarm, so the mean effective sample size per detector falls from 3.0 to 1.3 on XJTU-SY, 4.8 to 2.8 on FEMTO, 5.0 to 3.6 on Ferrara,"
S27.021.n03,number,4.8,located,,"Gating discards every run in which a detector never produces a valid alarm, so the mean effective sample size per detector falls from 3.0 to 1.3 on XJTU-SY, 4.8 to 2.8 on FEMTO, 5.0 to 3.6 on Ferrara,"
S27.021.n04,number,2.8,located,,"Gating discards every run in which a detector never produces a valid alarm, so the mean effective sample size per detector falls from 3.0 to 1.3 on XJTU-SY, 4.8 to 2.8 on FEMTO, 5.0 to 3.6 on Ferrara,"
S27.021.n05,number,5.0,located,,"Gating discards every run in which a detector never produces a valid alarm, so the mean effective sample size per detector falls from 3.0 to 1.3 on XJTU-SY, 4.8 to 2.8 on FEMTO, 5.0 to 3.6 on Ferrara,"
S27.021.n06,number,3.6,located,,"Gating discards every run in which a detector never produces a valid alarm, so the mean effective sample size per detector falls from 3.0 to 1.3 on XJTU-SY, 4.8 to 2.8 on FEMTO, 5.0 to 3.6 on Ferrara,"
S27.021.n07,number,2.7,located,,"Gating discards every run in which a detector never produces a valid alarm, so the mean effective sample size per detector falls from 3.0 to 1.3 on XJTU-SY, 4.8 to 2.8 on FEMTO, 5.0 to 3.6 on Ferrara,"
S27.021.n08,number,1.2,located,,"Gating discards every run in which a detector never produces a valid alarm, so the mean effective sample size per detector falls from 3.0 to 1.3 on XJTU-SY, 4.8 to 2.8 on FEMTO, 5.0 to 3.6 on Ferrara,"
S27.022,sentence,,located-manual,"paraphrased: Sec. 6.7 gated paragraph: 'agrees with the raw one with materially less power, so raw lead stays the primary quantity and the gated version is a robustness check'","The gated contrast is thus the more conservative and the less informative of the two: it agrees with the raw contrast while having materially less ability to detect a difference, which is why we keep "
S28.001,sentence,,located,,"Sweeping the alarm-threshold percentile traces a prognostics analog of the ROC curve (Figure 5a, Table 13): tightening the threshold lowers both pre-onset FAR and lead time together, letting an operat"
S28.002,sentence,,located,,"On the achievable frontier (highest lead at the lowest FAR each detector attains) Hotelling T 2 and Isolation Forest dominate the upper-left, while the naive RMS-trend baseline collapses to near-zero "
S28.003,sentence,,located,,"At a strict 99.5th-percentile threshold, for instance, 3σ retains 56.3 h of lead at 8.9% pre-onset FAR, whereas RMS-trend has collapsed to 1.3 h."
S28.003.n01,number,99.5,located,,"At a strict 99.5th-percentile threshold, for instance, 3σ retains 56.3 h of lead at 8.9% pre-onset FAR, whereas RMS-trend has collapsed to 1.3 h."
S28.003.n02,number,56.3,located,,"At a strict 99.5th-percentile threshold, for instance, 3σ retains 56.3 h of lead at 8.9% pre-onset FAR, whereas RMS-trend has collapsed to 1.3 h."
S28.003.n03,number,8.9%,located,,"At a strict 99.5th-percentile threshold, for instance, 3σ retains 56.3 h of lead at 8.9% pre-onset FAR, whereas RMS-trend has collapsed to 1.3 h."
S28.003.n04,number,1.3,located,,"At a strict 99.5th-percentile threshold, for instance, 3σ retains 56.3 h of lead at 8.9% pre-onset FAR, whereas RMS-trend has collapsed to 1.3 h."
S28.004,sentence,,located,,This converts the single gated number into a usable operating-point selector.
S28.005,sentence,,located,,Note that many entries in Table 13 sit above the τ = 10% false-alarm budget; under the gated metric those operating points are invalid and we mark them with a dagger.
S28.005.n01,number,10%,located,,Note that many entries in Table 13 sit above the τ = 10% false-alarm budget; under the gated metric those operating points are invalid and we mark them with a dagger.
S28.006,sentence,,located,,This has a concrete consequence for detector choice: Hotelling T 2 attains the highest raw lead of any control chart in Table 13 but its pre-onset FAR exceeds the τ = 10% budget at every threshold tes
S28.006.n01,number,10%,located,,This has a concrete consequence for detector choice: Hotelling T 2 attains the highest raw lead of any control chart in Table 13 but its pre-onset FAR exceeds the τ = 10% budget at every threshold tes
S28.007,sentence,,located,,"EWMA and CUSUM behave the same way: their preonset FAR sits at 19.0-22.1% across the swept thresholds, never dipping below the budget, so neither has a valid operating point: the two memory-based cont"
S28.007.n01,number,19.0,located,,"EWMA and CUSUM behave the same way: their preonset FAR sits at 19.0-22.1% across the swept thresholds, never dipping below the budget, so neither has a valid operating point: the two memory-based cont"
S28.007.n02,number,22.1%,located,,"EWMA and CUSUM behave the same way: their preonset FAR sits at 19.0-22.1% across the swept thresholds, never dipping below the budget, so neither has a valid operating point: the two memory-based cont"
S28.007.n03,number,10%,located,,"EWMA and CUSUM behave the same way: their preonset FAR sits at 19.0-22.1% across the swept thresholds, never dipping below the budget, so neither has a valid operating point: the two memory-based cont"
S28.008,sentence,,located,,"Deep SVDD occupies the opposite corner: it stays comfortably within budget (≤ 0.6% FAR) but only by firing late, buying that low false-alarm rate with a short ≤ 14.8 h lead."
S28.008.n01,number,0.6%,located,,"Deep SVDD occupies the opposite corner: it stays comfortably within budget (≤ 0.6% FAR) but only by firing late, buying that low false-alarm rate with a short ≤ 14.8 h lead."
S28.008.n02,number,14.8,located,,"Deep SVDD occupies the opposite corner: it stays comfortably within budget (≤ 0.6% FAR) but only by firing late, buying that low false-alarm rate with a short ≤ 14.8 h lead."
S28.009,sentence,,located,,"The 3σ chart, by contrast, reaches a valid point (56.3 h of lead at 8.9% FAR at the 99.5th percentile) and is therefore the recommended chart under a 10% budget, a ranking the raw-lead column of Table"
S28.009.n01,number,56.3,located,,"The 3σ chart, by contrast, reaches a valid point (56.3 h of lead at 8.9% FAR at the 99.5th percentile) and is therefore the recommended chart under a 10% budget, a ranking the raw-lead column of Table"
S28.009.n02,number,8.9%,located,,"The 3σ chart, by contrast, reaches a valid point (56.3 h of lead at 8.9% FAR at the 99.5th percentile) and is therefore the recommended chart under a 10% budget, a ranking the raw-lead column of Table"
S28.009.n03,number,99.5,located,,"The 3σ chart, by contrast, reaches a valid point (56.3 h of lead at 8.9% FAR at the 99.5th percentile) and is therefore the recommended chart under a 10% budget, a ranking the raw-lead column of Table"
S28.009.n04,number,10%,located,,"The 3σ chart, by contrast, reaches a valid point (56.3 h of lead at 8.9% FAR at the 99.5th percentile) and is therefore the recommended chart under a 10% budget, a ranking the raw-lead column of Table"
S28.010,sentence,,located,0.65,"The same tradeoff computed on the ten XJTU bearings (Figure 5b) has the same qualitative shape at the shorter absolute lead times those bearings allow, confirming that the operating-point selection ge"
S28.011,sentence,,located,1.00,Sensitivity to the false-alarm budget.
S28.012,sentence,,located-manual,paraphrased: Sec. 6.9: 'The budget tau is a policy input',"The budget τ is a policy input, so we report how the detector recommendation moves with it rather than fixing τ = 10% silently (Table 12)."
S28.012.n01,number,10%,located,,"The budget τ is a policy input, so we report how the detector recommendation moves with it rather than fixing τ = 10% silently (Table 12)."
S28.013,sentence,,located-manual,paraphrased: Sec. 6.9: 'the recommendation is not tau-invariant',"The recommendation is not τ -invariant, and we state this plainly."
S28.014,sentence,,located,,"At τ = 0.20 the 3σ chart gives the longest valid lead (77.0 h), now joined by CUSUM, Hotelling T 2, and Isolation Forest as their pre-onset FAR falls within the looser budget."
S28.014.n01,number,0.20,located,,"At τ = 0.20 the 3σ chart gives the longest valid lead (77.0 h), now joined by CUSUM, Hotelling T 2, and Isolation Forest as their pre-onset FAR falls within the looser budget."
S28.014.n02,number,77.0,located,,"At τ = 0.20 the 3σ chart gives the longest valid lead (77.0 h), now joined by CUSUM, Hotelling T 2, and Isolation Forest as their pre-onset FAR falls within the looser budget."
S28.015,sentence,,located,,At τ = 0.10 the 3σ chart remains the best valid chart (56.3 h).
S28.015.n01,number,0.10,located,,At τ = 0.10 the 3σ chart remains the best valid chart (56.3 h).
S28.015.n02,number,56.3,located,,At τ = 0.10 the 3σ chart remains the best valid chart (56.3 h).
S28.016,sentence,,located,,But at a strict τ = 0.05 no control chart qualifies at all—only Deep SVDD (14.8 h) and the RMS-trend floor (34.7 h) stay within a 5% budget—so an operator with a very low nuisancealarm tolerance shoul
S28.016.n01,number,0.05,located,,But at a strict τ = 0.05 no control chart qualifies at all—only Deep SVDD (14.8 h) and the RMS-trend floor (34.7 h) stay within a 5% budget—so an operator with a very low nuisancealarm tolerance shoul
S28.016.n02,number,14.8,located,,But at a strict τ = 0.05 no control chart qualifies at all—only Deep SVDD (14.8 h) and the RMS-trend floor (34.7 h) stay within a 5% budget—so an operator with a very low nuisancealarm tolerance shoul
S28.016.n03,number,34.7,located,,But at a strict τ = 0.05 no control chart qualifies at all—only Deep SVDD (14.8 h) and the RMS-trend floor (34.7 h) stay within a 5% budget—so an operator with a very low nuisancealarm tolerance shoul
S28.016.n04,number,5%,located,,But at a strict τ = 0.05 no control chart qualifies at all—only Deep SVDD (14.8 h) and the RMS-trend floor (34.7 h) stay within a 5% budget—so an operator with a very low nuisancealarm tolerance shoul
S28.017,sentence,,located,,The 3σ recommendation therefore holds for τ ≥ 0.10 on IMS and inverts toward the low-FAR detectors below it.
S28.017.n01,number,0.10,located,,The 3σ recommendation therefore holds for τ ≥ 0.10 on IMS and inverts toward the low-FAR detectors below it.
S28.018,sentence,,located,,"Crucially, the cross-dataset headline is untouched by this choice: it is computed on raw (ungated) leadtime differences (Section 4.9) and does not depend on τ at all."
S28.019,sentence,,located,1.00,Where does τ = 10% come from?
S28.019.n01,number,10%,located,,Where does τ = 10% come from?
S28.020,sentence,,located,,A cost-ratio argument.
S28.021,sentence,,located-manual,paraphrased: Sec. 6.9 cost-ratio paragraph (the anchor for tau),We do not treat τ as arbitrary.
S28.022,sentence,,located,0.95,"Consider a simple expected-cost model with two site parameters: cI , the cost of responding to one nuisance alarm (a wasted inspection), and cF , the cost of an unplanned bearing failure (downtime plu"
S28.023,sentence,,located,0.94,"Over a bearing’s pre-onset life of k windows a detector at pre-onset FAR f issues ≈kf nuisance inspections, and a valid alarm with adequate lead converts the failure into a planned repair, saving cF ."
S28.024,sentence,,located,,"An operator should tolerate false alarms up to the budget at which their cumulative cost equals the warning’s value, kτ cI ≈ cF , i.e. τ∗ ≈ cF ρ =, k cI k ρ ≡ cF /cI ."
S28.025,sentence,,located,,"(6) For rolling-element bearings an unplanned failure typically costs ρ = 102-104 times a routine inspection, and the preonset window count is of order k ∼ 103 on the runs studied here, so Eq."
S28.025.n01,number,6,located,,"(6) For rolling-element bearings an unplanned failure typically costs ρ = 102-104 times a routine inspection, and the preonset window count is of order k ∼ 103 on the runs studied here, so Eq."
S28.025.n02,number,102,located,,"(6) For rolling-element bearings an unplanned failure typically costs ρ = 102-104 times a routine inspection, and the preonset window count is of order k ∼ 103 on the runs studied here, so Eq."
S28.025.n03,number,104,located,,"(6) For rolling-element bearings an unplanned failure typically costs ρ = 102-104 times a routine inspection, and the preonset window count is of order k ∼ 103 on the runs studied here, so Eq."
S28.025.n04,number,103,located,,"(6) For rolling-element bearings an unplanned failure typically costs ρ = 102-104 times a routine inspection, and the preonset window count is of order k ∼ 103 on the runs studied here, so Eq."
